Position,Product Name,Rating Count,Discount,Original Price,Discounted Price,Free Delivery,Review Count,Stock Status,Image 1,Image 2,Image 3,Image 4
40,Women Multicolor Jeans,-32,75% off,"1,999",₹484,Free delivery,-7,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/x/m/34-pa2061-mahi-trendz-original-imahysg7bffsuyqq.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/2/2/w/28-kottyladiesjeans1086-kotty-original-imagmme72wfysz8r.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/c/9/r/32-grey-6-pkt-cnu-jeans-32-size-aj-collection-original-imagucgqf4pfzgya.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/f/q/v/28-2-masgarments-original-imahfzhwbgpgp5hz.jpeg?q=60
41,Skinny Women Black Jeans,-63,67% off,"1,299",₹427,Free delivery,-76,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/c/z/6/30-women-black-jeans-finz-air-original-imagt5ceqypfpyf9.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/f/v/d/14-15-years-light-dark-belt-combo-zodio-original-imagghtzffzbqvyb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kgjqefk0-0/jean/d/d/o/26-rt-light-blue-plain-lower-rough-look-jogger-1567-rafflesia-original-imafwrm9mzytarzj.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kx3l0nk0hlty2aw/jean/n/l/t/-original-imag9tb29gzdgpfg.jpeg?q=60
42,Flared Women Black Jeans,-56,51% off,999,₹484,Free delivery,-30,Only few left,https://rukminim2.flixcart.com/image/440/593/l5bd5zk0/shopsy-jean/v/b/y/32-jeans-new-flat-mercel-original-imaggyemjakbbcfs.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/v/d/p/34-189-light-blue-aadvi-fashion-original-imagz5fnhhacdwbm.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/2/o/m/38-shopsy-1bsdj-bata-perfect-fashion-original-imagcj2hzbkhzxzt.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/x/t/y/30-189-black-aadvi-fashion-original-imagz5fhpr3fbbg3.jpeg?q=60
43,Women Blue Jeans,,56% off,"1,099",₹474,Free delivery,-153,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/s/n/u/28-maa-2058-s-bas-udhatikraman-original-imaghnynwzyjhvka.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/krz97rk0/jean/w/t/e/28-5-btn-2121-miss-crazy-original-imag5nhz4fhtsspq.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kuzuoi80/shopsy-jean/t/w/k/32-dhol-wash-denim-jogger-for-women-kashafbebo-original-imag7zp9zzgmtvw5.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/o/a/m/30-6-pocket-dhowl-wash-jogger-sidha-apparels-original-imagnb66crgce7jg.jpeg?q=60
44,Flared Women Dark Blue Jeans,-15,53% off,599,₹279,Free delivery,-130,Only few left,https://rukminim2.flixcart.com/image/440/593/kqttg280/trouser/b/v/8/30-6206-bhatla-enterprise-original-imag4qhkuxmmcyjs.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l55nekw0/shopsy-jean/d/z/6/30-fs-jgr-5-buyuniquefashion-original-imagfwmq658kjypw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/i/7/j/30-kttladiesjeans1003-kotty-original-imaggbnfsf45yhgg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/b/z/1/26-wj-bk-pl-14-linaria-original-imagrfjct8g5kv6k.jpeg?q=60
45,Flared Women Light Blue Jeans,,68% off,"1,299",₹410,Free delivery,,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/h/i/s/34-4-button-plazo-dx3-a-flash-original-imahfqyrtf2hey92.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/c/e/c/32-wj-bk-pl-13-linaria-original-imagreth3mfhrfwy.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/4/0/32-1b-lb-j-p1-32-sh-skiiestreet-original-imagjpzhhhvyvpv3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/ks0onm80/jean/o/e/k/32-fbt-2110-flying-girls-original-imag5zpurdnfbzmr.jpeg?q=60
46,Regular Women Dark Blue Jeans,-87,72% off,"1,398",₹384,Free delivery,-423,Only few left,https://rukminim2.flixcart.com/image/440/593/ks0onm80/jean/z/k/h/26-fbt-2110-flying-girls-original-imag5zpu5t4qhzyz.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k1jlyfk0/jean/v/v/4/38-209-1-38-raiter-original-imafkvkzf85nujyn.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/c/r/k/32-women6pocket-zaristaa-original-imagyamz2r7hwes6.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/h/o/c/26-laces-jeans-neha-fashion-original-imagy3ujgbrghtzb.jpeg?q=60
47,Flared Women Blue Jeans,-31,72% off,"1,299",₹355,Free delivery,-26,Only few left,https://rukminim2.flixcart.com/image/440/593/klphn680/jean/m/w/8/30-kttladiesjeans817-kotty-original-imagys5jwzf3fczp.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/3/1/u/28-hwj-102dsky28-hiker-s-way-original-imagtd7ym8mxyfcg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kvpklu80/shopsy-jean/w/w/9/32-1141-black-osmos-original-imag8jsywwqrtdkz.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/x/o/14-15-years-moti-plazo-zodio-original-imagjbgw5fyxqymv.jpeg?q=60
48,Regular Women Dark Blue Jeans,,63% off,999,₹369,Free delivery,-21,Only few left,https://rukminim2.flixcart.com/image/440/593/l4oi4cw0/shopsy-jean/u/t/g/30-tek-145-tektarwi-original-imagfgwbhffhsqvj.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kws5hu80/jean/l/f/u/28-z324blue-28-m-moddy-original-imag9du5erxjnhug.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kq18n0w0/jean/j/p/v/32-070-5-butt-72-o-mine-original-imag44uwh5q59bgr.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/h/3/x/32-ice-blue-6-pkt-cnu-jeans-32-size-aj-collection-original-imagu4hgfyywh29z.jpeg?q=60
49,Regular Women Dark Blue Jeans,-11,33% off,499,₹334,Free delivery,-176,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/5/g/r/30-2btn-blue-30-sh-skiiestreet-original-imagg4hbgtshzfsd.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/r/x/24-trendydoll-0786-trendydoll-original-imaggzyyu9gvxqgx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/h/3/x/32-ice-blue-6-pkt-cnu-jeans-32-size-aj-collection-original-imagu4hgfyywh29z.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/x/1/v/34-kttladiesjeans1049-kotty-original-imagg47mth2ud3g5.jpeg?q=60
